===== JOURNAL DES EVENEMENTS =====
Debut capture : 2026-03-26 01:38:19.652866
Interface     : ens34
Filtre        : net 192.168.26.0/24

[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 2251
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5666
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9593
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5000
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1026
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5998
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 444
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 513
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 808
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8654
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1141
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1583
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1033
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8290
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1501
